mk_individual_id,PersonID,mk_individual_name,mk_individual_first_name,LastName,FirstName,IsCurrent,altnames
814,11835,מקלב,אורי,מקלב,אורי,True,"[""אורי מקלב""]"
815,12595,גרינפילד,צביה,גרינפילד,צביה,False,"[""צביה גרינפילד""]"
816,12835,פולק,יהושע מנחם,פולק,יהושע מנחם,False,"[""יהושע מנחם פולק""]"
820,12935,אדטו,רחל,אדטו,רחל,False,"[""רחל אדטו""]"
842,12936,אגבאריה,עפו,אגבאריה,עפו,False,"[""עפו אגבאריה""]"
830,12937,אקוניס,אופיר,אקוניס,אופיר,False,"[""אופיר אקוניס""]"
837,12938,עמאר,חמד,עמאר,חמד,True,"[""חאמד עמר"", ""חאמד עמאר"", ""חאמר עאמר"", ""חמד עמאר"", ""חמד עמר""]"
833,12939,אילון,דניאל,אילון,דניאל,False,"[""דניאל אילון""]"
817,12941,בילסקי,זאב,בילסקי,זאב,False,"[""זאב בילסקי""]"
841,12942,בן-ארי,מיכאל,בן-ארי,מיכאל,False,"[""מיכאל בן-ארי""]"
821,12943,ביבי,אריה,ביבי,אריה,False,"[""אריה ביבי""]"
828,12944,דנון,דני,דנון,דני,False,"[""דני דנון""]"
844,12945,גנאים,מסעוד,גנאים,מסעוד,False,"[""מסעוד גנאיים"", ""מסעוד גנאים""]"
847,12946,הרשקוביץ,דניאל,הרשקוביץ,דניאל,False,"[""דניאל הרשקוביץ""]"
843,12947,הורוביץ,ניצן,הורוביץ,ניצן,False,"[""ניצן הורוביץ""]"
825,12948,חוטובלי,ציפי,חוטובלי,ציפי,False,"[""ציפי חוטובולי"", ""ציפי חטובלי"", ""ציפי חוטובלי""]"
840,12949,כץ,יעקב,כץ,יעקב,False,"[""יעקב כץ""]"
835,12950,קירשנבאום,פניה,קירשנבאום,פניה,False,"[""פניה קירשנבאום""]"
826,12951,לוין,יריב,לוין,יריב,True,"[""יריב לווין"", ""יריב לוין""]"
832,12952,לוי אבקסיס,אורלי,לוי אבקסיס,אורלי,False,"[""אורלי לוי- אבוקסיס"", ""אורלי לוי-אבקסיס"", ""אורלי לוי אבקסיס"", ""אורלי לוי אבוקסיס""]"
838,12953,מטלון,משה (מוץ),מטלון,משה (מוץ),False,"[""משה (מוץ) מטלון""]"
834,12954,מיכאלי,אנסטסיה,מיכאלי,אנסטסיה,False,"[""אנסטסיה מיכאלי""]"
839,12955,מוזס,מנחם אליעזר,מוזס,מנחם אליעזר,False,"[""אליעזר מוזס"", ""מנחם מוזס"", ""מנחם אליעזר מוזס""]"
845,12956,אורבך,אורי,אורבך,אורי,False,"[""אורי אורבך""]"
824,12957,פלד,יוסי,פלד,יוסי,False,"[""יוסי פלד""]"
827,12958,פיניאן,ציון,פיניאן,ציון,False,"[""ציון פיניאן""]"
831,12959,רגב,מירי מרים,רגב,מירי מרים,True,"[""מירי רגב"", ""(מרים) מירי רגב"", ""מירי מרים רגב""]"
829,12960,שאמה-הכהן,כרמל,שאמה-הכהן,כרמל,False,"[""כרמל שאמה-הכהן""]"
12961,12961,שי,נחמן,שי,נחמן,False,"[""נחמן שי""]"
819,12962,טיבייב,רוברט,טיבייב,רוברט,False,"[""רוברט טיבייב""]"
823,12963,יעלון,משה,יעלון,משה,False,"[""משה יעלון""]"
846,12964,זועבי,חנין,זועבי,חנין,False,"[""חנין זואבי"", ""חנין זועבי""]"
822,12965,זוארץ,אורית,זוארץ,אורית,False,"[""אורית זוארץ""]"
836,12966,בן-סימון,דניאל,בן-סימון,דניאל,False,"[""דניאל בן-סימון""]"
848,13830,שמאלוב-ברקוביץ,יוליה,שמאלוב-ברקוביץ,יוליה,False,"[""יוליה שמאלוב-ברקוביץ""]"
13955,13955,לנדאו,דן,לנדאו,דן,False,"[""דן לנדאו""]"
849,14470,וילף,עינת,וילף,עינת,False,"[""עינת וילף""]"
850,17630,אבסדזה,נינו,אבסדזה,נינו,False,"[""נינו אבסדזה""]"
851,18990,אביטל,דורון,אביטל,דורון,False,"[""דורון אביטל""]"
852,21431,דואן,אברהם,דואן,אברהם,False,"[""אברהם דואן""]"
853,22091,צלנר,יובל,צלנר,יובל,False,"[""יובל צלנר""]"
854,22151,חסון,אכרם,חסון,אכרם,True,"[""אקרם חסון"", ""אכרם חסון""]"
855,22811,דבאח,אחמד,דבאח,אחמד,False,"[""אחמד דבאח""]"
856,22911,אדמסו,אללי,אדמסו,אללי,False,"[""אללי אדמסו""]"
864,23511,בנט,נפתלי,בנט,נפתלי,False,"[""נפטלי בנט"", ""נפתלי בנט"", ""בנט נפתלי""]"
904,23512,שקד,אילת,שקד,אילת,False,"[""שקד איילת"", ""אילת שקד"", ""איילת שקד"", ""איילת בן-שאול"", ""איילת בן-שאול שקד""]"
863,23531,בן-דהן,אלי,בן-דהן,אלי,False,"[""בן דהן אליהו"", ""אלי דהן בן"", ""אלי בן-דהן"", ""אלי בן דהן""]"
893,23532,כלפה,זבולון,כלפה,זבולון,False,"[""זבולון כלפה""]"
870,23533,וורצמן,אברהם,וורצמן,אברהם,False,"[""אברהם וורצמן""]"
873,23534,יוגב,מרדכי,יוגב,מרדכי,False,"[""מורדכי יוגב"", ""מרדכי יוגב"", ""יוגב מרדכי"", ""מוטי יוגב""]"
884,23551,סטרוק,אורית מלכה,סטרוק,אורית מלכה,True,"[""אורית מלכה סטרוק""]"
898,23552,שטבון,יוני,שטבון,יוני,False,"[""יוני שטבון""]"
879,23553,מועלם-רפאלי,שולי,מועלם-רפאלי,שולי,False,"[""שולי מועלם"", ""שולי רפאלי"", ""מועלם-רפאלי שולי"", ""שולי מועלם רפאלי"", ""שולי מועלם-רפאלי""]"
902,23555,שמיר,יאיר,שמיר,יאיר,False,"[""יאיר שמיר""]"
885,23556,פייגלין,משה זלמן,פייגלין,משה זלמן,False,"[""משה זלמן פייגלין""]"
859,23557,אוחיון,שמעון,אוחיון,שמעון,False,"[""שמעון אוחיון""]"
914,23558,ביטן,דוד,ביטן,דוד,True,"[""דויד ביטן"", ""דוד ביתן"", ""דוד ביטן""]"
956,23560,מלינובסקי,יוליה,מלינובסקי,יוליה,True,"[""יוליה מלינובסקי""]"
912,23564,אמסלם,דוד,אמסלם,דוד,True,"[""דוד אמסלם"", ""דויד אמסלם""]"
881,23565,מיכאלי,מרב,מיכאלי,מרב,True,"[""מירב מיכאלי"", ""מיכאלי מירב"", ""מרב מיכאלי""]"
903,23566,שפיר,סתיו,שפיר,סתיו,False,"[""סתיו שפיר"", ""שפיר סתיו"", ""סתו שפיר""]"
882,23567,מרגלית,אראל,מרגלית,אראל,False,"[""מרגלית נחום אראל"", ""הראל מרגלית"", ""אראל מרגלית""]"
901,23568,שמולי,איציק,שמולי,איציק,False,"[""שמולי יצחק"", ""איציק יצחק שמולי"", ""איציק שמולי""]"
896,23569,רוזנטל,מיקי,רוזנטל,מיקי,False,"[""מיכאל רוזנטל"", ""מיקי מיכאל משה רוזנטל"", ""מיקי רוזנטל""]"
23570,23570,בירן,מיכל,בירן,מיכל,False,"[""מיכל בירן""]"
880,23571,מזרחי,משה,מזרחי,משה,False,"[""משה מזרחי""]"
940,23572,עטר,דניאל,עטר,דניאל,False,"[""דניאל עטר""]"
23573,23573,יונה,יוסי,יונה,יוסי,False,"[""יוסי יונה""]"
899,23591,שטרן,אלעזר,שטרן,אלעזר,True,"[""שטרן אלעזר"", ""אלעזר שטרן""]"
890,23592,צור,דוד,צור,דוד,False,"[""דוד צור""]"
878,23594,לפיד,יאיר,לפיד,יאיר,True,"[""לפיד יאיר"", ""יאיר לפיד""]"
886,23595,פירון,שי,פירון,שי,False,"[""שי פירון""]"
868,23596,גרמן,יעל,גרמן,יעל,False,"[""יעל גרמן"", ""גרמן יעל""]"
